0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,VALLE,CALI (CT),Martes,23:16:00,LOS CHORROS E18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,76001000,,1
1/1/2019,VALLE,EL CERRITO,Martes,22:30:00,S/TA BARBARA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,76248000,,1
1/1/2019,VALLE,FLORIDA,Martes,12:50:00,PEREZ QUINAMAYO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,51,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76275000,,1
1/1/2019,VALLE,GINEBRA,Martes,13:45:00,VDA. COCUYOS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,FEMENINO,SEPARADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,76306000,,1
1/1/2019,VALLE,PALMIRA,Martes,10:03:00,SEMBRADOR,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76520000,,1
1/1/2019,VALLE,PALMIRA,Martes,10:10:00,SAN PEDRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,76520000,,1
1/1/2019,VALLE,PRADERA,Martes,12:20:00,EL BOLITO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,76563000,,1
1/1/2019,VALLE,TULUÁ,Martes,1:10:00,La Inmaculada,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76834000,,1
1/1/2019,VALLE,YUMBO,Martes,2:40:00,LA ESTANCIA E25,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76892000,,1
2/1/2019,ANTIOQUIA,APARTADÓ,Miércoles,1:50:00,OBRERO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5045000,,1
2/1/2019,ANTIOQUIA,EL BAGRE,Miércoles,11:15:00,LA VEGA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5250000,,1
